A_U,A_NU,MD
502910451.882,502910451.882,502910451.882
471488985.527,475888379.788,448974679.994
435859550.466,475471091.697,399813873.678
411138413.646,444767195.763,359995113.764
390513823.954,416669541.017,325546018.347
390477746.239,416556563.42,289323774.84
390370767.648,386088011.371,261146245.802
358906792.732,385618771.762,237088548.26
325589640.378,368030250.962,216313321.442
325665779.199,368031732.727,195595488.794
326436027.999,345127329.404,175488193.857
325037208.282,345133174.61,157893958.929
324528289.496,345147319.68,143168559.982
306993244.1,321926142.588,129308605.002
306553531.454,321830345.613,116098189.664
287066829.744,302543949.815,116144072.796
264609982.695,302511555.572,117175457.733
264692404.356,281475047.372,107212001.224
251447702.52,281446483.873,99261361.1441
251485389.98,264860738.345,96705661.3232
251429088.086,240194621.396,88421930.3968
233137635.996,224591972.362,80756610.0114
233518713.27,224817643.219,79490791.2012
233342119.375,224719981.426,79652911.9802
233492945.011,208879440.684,78318336.1527
218379506.07,200694194.632,78942269.7151
204616828.344,194363214.971,77897759.1788
191468639.331,194375476.467,77555564.4507
191395861.981,184177356.747,76966440.8198
182880041.067,176979638.809,77119344.0204
176949414.802,166720590.726,75516737.5698
176427860.363,154293134.613,74593649.6408
161355352.432,153907956.567,69354781.4628
148574601.393,153886899.717,62708929.704
147523032.523,147504649.593,62511527.6102
147463484.729,147455503.299,68874819.3833
147428145.018,147477937.28,63468073.7799
140168940.492,147494063.59,58102564.425
140097022.561,142400349.158,57369478.2432
126444533.999,142195367.449,57319483.667
126389244.375,142192566.619,56273547.5428
126460082.278,142304866.287,56277092.7037
119675418.253,142257588.14,55914976.9201
113546541.597,142307698.493,55972364.0013
104885982.096,133384076.715,55064031.1872
98248782.6271,128985470.452,51213471.5572
93722591.0168,121026507.199,47193538.0035
86908698.87,115820446.122,44139564.3372
86908971.7689,106668606.197,44283383.6086
86853934.248,106667410.65,43865983.9809
84895755.2538,103361694.224,43904917.4591
84808546.6564,103084576.632,43083430.3542
81294539.0011,103041958.958,43086730.7224
78271643.4869,102818116.029,42245418.8193
72798430.618,100435649.718,41994301.8624
72848443.6284,96512843.2669,41326069.2049
69307745.3089,93247266.3682,37945631.9111
66092210.9599,88915251.7092,41699908.4817
62337199.622,85884717.4203,41751527.4233
61703557.6481,82063170.8131,41297376.5139
61705488.0245,81419256.2019,41440481.5189
60094662.3495,76687394.2202,40896984.9729
60597515.5682,76661413.3218,37392237.8843
60474244.1099,74749607.4918,36862704.3808
60597032.4136,72015277.6293,40527337.3977
57788659.4963,72006358.911,37082053.7393
57832269.2504,68115207.5208,40723059.0363
54707004.9555,68004486.6271,37292149.3659
54880960.6675,65301923.0216,40318873.5591
51724451.8822,65181784.7446,37125505.8626
49810188.9056,62763724.428,34157405.3343
49437504.3337,62759895.1779,31347791.6576
50328272.3414,62801892.1809,31147081.8047
49630093.5555,58440636.9348,30851977.0241
49838966.3128,55845395.4392,30546726.6741
48406540.1186,55852805.1747,30912007.939
47771067.3432,56045111.3004,30218688.5513
46315273.7162,56040019.4473,30285694.595
45227695.9144,56013011.1724,29660208.6167
45209511.9528,55993892.4183,29686298.2578
45022130.0083,56028426.3504,29725737.4555
43473490.4291,58676475.6854,29370912.2872
42195112.2742,58676425.2403,27137689.1201
42188158.6482,56728842.874,24981886.6857
42128733.0602,56728824.0555,23103689.1999
41024289.0516,56315970.541,23002179.2643
40977731.3493,55166621.1066,23162279.8614
41112078.6276,54399907.1239,22922875.5995
40195205.3438,53427120.4731,22858682.8089
40032122.7924,53433236.2813,22638617.46
40034572.9091,53457815.2745,24476104.5996
39335270.9833,53209800.8814,22706297.5882
38009242.921,53208978.2771,24374383.2806
37392821.2782,52644386.0627,22299906.1704
37608616.6045,52611903.8948,23818751.9346
37161326.7261,53065072.8661,23781705.5627
37213094.5924,52977250.2697,23688932.0817
37365784.0238,52752387.5394,23718047.5014
37233691.5981,52738340.71,23533995.2674
37368255.7631,52745477.0721,23585102.6108
37225586.8189,52651904.1488,21919193.2273
36461599.8545,52632694.0032,23805890.2342
